Year,-12,-11.7,-11.4,-11.1,-10.8,-10.5,-10.2,-9.9,-9.6,-9.3,-9,-8.7,-8.4,-8.1,-7.8,-7.5,-7.2,-6.9,-6.6,-6.3,-6,-5.7,-5.4,-5.1,-4.8,-4.5,-4.2,-3.9,-3.6,-3.3,-3,-2.7,-2.4,-2.1,-1.8,-1.5,-1.2,-0.9,-0.6,-0.3
1960,9,1,0,1,1,0,2,1,0,0,1,0,0,1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,7,1,1,0,1,1,1,2,2,1,0,0,1,2,0,0,1,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,9,0,2,5,3,1,0,1,3,1,1,0,2,0,1,1,2,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,37,0,3,1,7,2,3,4,5,7,4,6,2,5,3,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,31,5,5,7,2,5,2,3,5,4,4,3,3,3,1,2,2,6,1,2,4,2,2,0,1,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0
1966,37,3,4,4,8,8,7,5,3,4,5,4,2,7,7,2,4,3,2,2,2,3,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1967,78,3,6,5,4,9,5,5,9,7,9,4,4,6,7,2,2,3,2,5,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,105,11,14,6,9,6,4,9,5,9,8,6,4,6,4,6,5,4,4,10,2,2,3,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
1969,142,9,4,10,7,10,16,9,7,13,8,13,5,4,5,8,9,4,6,4,3,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1970,167,9,11,7,7,15,8,13,5,11,7,4,6,8,8,2,5,4,3,1,8,4,3,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1971,136,10,12,11,11,11,11,7,9,7,8,6,10,3,6,3,6,5,1,4,4,5,4,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,117,3,13,8,16,6,6,5,4,8,9,11,5,6,2,8,8,5,3,2,8,3,0,3,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0
1973,146,11,11,11,10,2,12,3,5,5,8,11,9,5,7,4,4,9,3,7,2,3,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,103,5,8,9,8,13,3,6,5,10,7,5,8,8,7,9,13,15,13,6,6,4,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1975,116,9,12,7,12,13,8,6,3,11,7,6,6,8,8,4,5,3,8,3,7,0,2,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
1976,94,8,7,10,9,6,11,10,6,9,5,11,7,7,1,8,5,10,1,1,5,2,0,4,2,1,0,1,1,2,0,0,0,0,0,1,0,1,0,0
1977,87,9,11,5,6,9,14,19,9,7,9,9,6,9,2,10,7,6,6,5,4,4,1,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,119,7,11,7,10,6,5,12,9,3,10,9,14,9,10,8,11,5,10,4,6,7,8,1,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1979,84,7,4,3,5,5,3,4,4,6,6,7,6,4,10,8,8,13,6,9,5,5,4,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
1980,82,8,10,5,6,9,5,1,11,8,7,3,7,6,5,14,9,7,7,5,5,4,5,2,4,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0
1981,108,5,7,11,5,9,9,0,6,6,3,3,10,7,4,7,6,13,8,8,10,7,2,4,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1982,76,9,10,8,6,12,7,6,6,10,3,5,5,7,3,8,8,6,11,9,5,3,4,2,2,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0
1983,73,5,2,7,11,8,7,6,3,6,10,9,12,8,6,6,9,7,4,5,10,2,4,6,4,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1984,91,12,7,5,11,4,11,7,10,11,11,9,10,6,5,6,2,10,10,2,6,5,9,2,4,4,1,3,4,4,1,1,1,0,0,0,0,0,0,0
1985,69,6,6,7,7,8,12,9,5,5,3,6,6,7,11,9,4,7,8,9,7,5,2,3,1,8,3,3,0,0,1,0,3,0,0,0,1,0,0,0
1986,115,8,9,13,12,9,14,6,11,9,13,7,13,11,8,7,11,10,16,7,10,9,9,5,9,7,5,6,5,2,2,1,0,1,0,1,1,0,0,0
1987,137,12,12,16,11,9,9,14,4,15,6,13,8,9,8,7,15,10,4,12,12,14,14,6,6,9,3,1,2,3,2,3,0,0,1,0,0,0,0,0
1988,133,21,16,15,24,17,12,17,15,8,15,13,3,12,5,11,5,9,6,11,10,7,6,11,5,6,4,4,2,1,2,2,0,1,0,0,0,0,0,0
1989,180,20,26,17,28,28,30,20,23,18,19,16,16,20,8,6,13,9,12,15,17,8,7,4,10,5,3,4,3,0,1,0,0,0,0,0,0,0,0,0
1990,165,20,23,17,23,16,33,21,17,26,18,19,31,26,14,16,15,20,15,10,10,14,8,11,9,5,3,4,8,4,2,2,2,2,2,0,0,0,0,0
1991,173,19,23,19,26,17,22,5,28,29,28,20,25,16,23,16,24,18,23,19,16,21,12,14,7,3,2,5,1,2,0,3,1,0,0,0,0,0,0,0
1992,164,19,26,20,12,14,28,29,30,25,21,24,18,20,21,21,27,24,22,15,15,14,7,14,5,12,7,5,0,4,4,1,2,1,2,1,0,0,0,0
1993,217,21,15,16,18,14,25,15,19,31,18,14,30,24,29,24,33,38,25,25,22,17,14,13,12,10,7,2,4,2,4,1,0,0,3,0,0,0,0,0
1994,178,15,15,19,19,19,28,22,22,35,23,39,31,28,32,23,27,36,39,48,24,25,17,18,10,5,5,8,4,0,2,2,1,1,1,0,0,0,0,0
1995,217,26,20,14,18,26,22,20,21,28,18,30,32,34,15,37,45,30,39,44,34,25,23,20,19,21,14,9,4,6,2,1,1,0,0,1,0,0,0,0
1996,184,25,13,16,19,16,19,25,17,28,34,33,42,36,34,34,58,38,40,38,34,20,31,15,11,21,13,12,9,3,4,5,2,0,3,0,0,0,0,0
1997,170,14,12,13,20,16,19,18,26,32,29,36,32,40,42,33,32,56,41,30,48,44,41,44,45,23,28,25,6,9,3,2,2,0,1,0,0,0,0,1
1998,202,10,14,19,17,15,15,19,24,19,42,33,34,27,44,42,60,48,41,54,61,42,43,44,37,28,28,28,21,15,14,7,1,3,1,0,0,2,0,0
1999,177,12,17,10,23,27,26,22,26,28,32,37,27,32,41,53,44,50,42,61,64,54,58,57,60,41,35,31,39,14,16,7,2,2,1,0,0,0,0,0
2000,180,17,18,16,25,14,26,26,29,22,28,36,36,32,39,52,40,54,50,62,61,60,68,68,74,68,68,38,29,18,21,10,12,5,4,2,2,2,0,0
2001,219,21,22,18,14,18,20,28,36,22,33,41,30,54,42,62,60,52,63,57,60,67,84,71,68,66,51,48,36,35,16,16,12,10,3,2,1,0,0,0
2002,215,10,19,21,12,19,17,27,41,32,27,38,29,48,43,47,48,72,80,84,85,73,79,93,95,82,80,63,54,33,22,22,10,12,3,2,3,1,1,0
2003,263,20,10,25,22,23,26,34,50,29,34,41,43,48,47,45,53,66,76,77,67,95,87,90,111,103,88,70,62,37,24,18,8,5,3,1,0,0,0,0
2004,236,23,18,32,17,20,20,27,29,33,41,33,34,46,58,67,78,84,84,100,88,109,131,127,123,108,90,81,77,37,39,23,7,6,11,3,1,0,1,0
2005,355,38,30,39,36,38,50,42,55,56,46,59,73,72,72,88,93,97,107,117,110,123,147,154,164,151,114,96,81,77,49,45,44,14,6,4,3,3,2,0
2006,497,42,45,43,39,59,49,43,56,60,75,79,100,95,75,97,90,133,120,139,127,165,163,172,162,166,162,139,132,96,64,50,38,22,8,4,4,2,1,0
2007,404,19,26,30,40,38,47,43,46,52,48,64,76,57,71,87,89,121,130,126,145,145,186,174,201,176,179,186,156,104,73,54,39,22,16,4,0,1,0,1
2008,342,29,30,42,29,37,34,38,51,41,59,61,66,62,63,90,96,105,115,129,135,149,132,166,154,168,155,140,128,90,61,36,28,24,16,11,3,0,0,0
2009,369,32,36,43,39,39,51,42,51,62,58,77,74,76,84,93,76,105,113,125,127,139,138,180,163,148,144,122,102,84,68,42,20,20,13,8,10,2,1,2
2010,130,9,15,18,15,16,10,23,23,18,25,29,30,32,43,36,40,43,45,44,48,59,63,59,72,74,80,64,44,42,31,22,18,10,3,4,2,0,0,0
2011,44,2,5,4,4,5,4,6,6,4,6,5,4,10,5,3,7,8,10,10,5,14,12,10,17,15,14,6,3,0,2,2,4,4,1,0,0,0,0,0
2012,45,0,5,8,3,6,6,5,4,2,3,6,8,4,4,9,1,3,3,4,2,1,3,0,3,5,3,4,1,3,4,0,2,1,2,0,2,0,0,0
2013,42,5,2,8,2,5,4,11,6,4,3,6,5,5,3,2,4,4,2,4,2,7,6,7,1,1,2,2,1,1,1,2,3,1,0,0,0,0,0,0
2014,21,5,3,2,4,3,2,5,2,3,6,8,3,3,2,5,1,2,8,6,9,8,11,3,5,4,2,4,4,2,2,2,1,0,0,0,0,0,0,0